I;II;III;IV;V;Hasła klasyfikacyjne;KA km;KA ki;Uwagi
0;00;005;;;Działalność organów gminy;;;
0;00;005;0050;;Organizacja i zasady funkcjonowania organów gminy;A;Bc;
0;00;005;0050;;Pomoc radnym w wykonywaniu ich funkcji;B-5;Bc;
0;00;005;0050;;Sprawy osobowe radnych;B-5;Bc;
0;00;005;0050;;Przewodniczący Rady (reprezentacja, wystąpienia);B-5;Bc;
0;00;005;0051;;Programy działania organów gminy;A;Bc;
0;00;005;0052;;Sesje rady gminy;A;Bc;Protokoły i materiały
0;00;005;0053;;Sprawozdania z działalności rady;A;Bc;
0;00;005;0054;;Wybory ławników sądowych;BE-5;Bc;
0;00;005;0055;;Sprawozdania z działalności wójta (burmistrza, prezydenta miasta);A;Bc;
0;00;005;0056;;Zebrania organów uchwałodawczych jednostek pomocniczych;A;Bc;Protokoły zebrań wiejskich, rady sołeckiej, rady dzielnicy (osiedla)
0;00;005;0057;;Rejestr wniosków i interpelacji radnych;A;Bc;Interpelacje i wnioski: kat. B-5
0;00;005;0058;;Spotkania radnych z wyborcami;BE-5;Bc;W tym: wnioski i postulaty wyborców
0;00;005;0059;;Sprawy osobowe radnych;BE-5;Bc;
0;00;006;;;Komisje i zespoły organów gminy;;;
0;00;006;0060;;Powoływanie komisji i zespołów;A;Bc;
0;00;006;0061;;Ewidencja komisji i zespołów;A;Bc;
0;00;006;0062;;Programy działania komisji i zespołów;A;Bc;
0;00;006;0063;;Posiedzenia komisji i zespołów – protokoły;A;Bc;Dla poszczególnych komisji i zespołów zakłada się odrębne numerowane podteczki, np. „0053 – 1Komisja ds. budżetu i finansów”
0;00;006;0064;;Plany i sprawozdania z działalności komisji i zespołów;A;Bc;Uwagi: - jak wyżej
0;00;006;0065;;Obsługa administracyjna komisji i zespołów;BE-5;Bc;Korespondencja w sprawach organizacyjnych, harmonogramy, zawiadomienia, itp.
0;00;007;;;Zjazdy, narady, konferencje;;;
0;00;007;0070;;Plany i programy zjazdów, narad i konferencji – własnych;A;Bc;
0;00;007;0071;;Organizacja zjazdów, narad i konferencji – własnych;B-5;Bc;Obsługa administracyjno-finansowa
0;00;007;0072;;Organizacja zjazdów, narad i konferencji – w podległych jednostkach organizacyjnych;B-3;Bc;
0;00;007;0073;;Narady pracowników własnej jednostki;A;Bc;Protokoły, informacje
0;00;007;0074;;Konferencje;A;Bc;Programy, referaty, uchwały, listy uczestników, protokoły
0;00;007;0075;;Udział w obcych zjazdach naradach i konferencjach;B-3;Bc;Wystąpienia własne (referaty) – kat. A
0;00;008;;;Parlament Europejski – wybory do Parlamentu Europejskiego;B-5;Bc;Postępowanie z dokumentacją wyborczą regulują odrębne przepisy
0;01;;;;ORGANIZACJA;;;
0;01;010;;;Przepisy prawne dotyczące organizacji i zarządzania;B-10;Bc;
0;01;011;;;Organizacja urzędu gminy;;;
0;01;011;0110;;Statut gminy;A;Bc;
0;01;011;0111;;Regulamin organizacyjny;A;Bc;
0;01;011;0112;;Podziały czynności;B-10;Bc;
0;01;011;0113;;Upoważnienia kierownika urzędu do wykonywania zadań;B-5;Bc;Okres przechowywania nalicza się
0;01;011;0114;;Sprawy organizacyjne;B-5;Bc;Korespondencja, notatki, polecenia porządkowe
0;01;012;;;Organizacja jednostek pomocniczych i podległych;;;
0;01;012;0120;;Przepisy ogólne i podstawy prawne działania;A;Bc;w tym: tworzenie, przekształcenia, likwidacje
0;01;012;0121;;Statuty i regulaminy organizacyjne;A;Bc;Należy założyć odrębne numerowane podteczki dla każdej jednostki
0;01;013;;;Organizacja innych jednostek organizacyjnych;B-5;Bc;
0;01;014;;;Akty normatywne;;;Klasyfikacja dotyczy aktów gromadzonych w innej formie niż w zbiorach (oprawnych rocznikach) dzienników ustaw, monitorów polskich, dzienników urzędowych
0;01;014;0140;;Akty normatywne Prezydenta RP;B-10;Bc;
0;01;014;0141;;Akty normatywne Rady Ministrów;B-10;Bc;
0;01;014;0142;;Akty normatywne Prezesa Rady Ministrów;B-10;Bc;
0;01;014;0143;;Akty normatywne ministrów i kierowników urzędów centralnych;B-10;Bc;
0;01;014;0144;;Akty normatywne Wojewody;B-10;Bc;
0;01;014;0145;;Akty normatywne organów samorządu wojewódzkiego;B-10;Bc;
0;01;014;0146;;Akty normatywne organów samorządu powiatowego;B-10;Bc;
0;01;015;;;Akty normatywne organów gminy;;;
0;01;015;0150;;Uchwały rady gminy;A;Bc;Wraz z rejestrem
0;01;015;0151;;Zarządzenia wójta (burmistrza, prezydenta miasta);A;Bc;Wraz z rejestrem
0;01;015;0152;;Zarządzenia kierownika urzędu;A;Bc;
0;01;015;0153;;Decyzje kierownika urzędu;B-10;Bc;
0;01;015;0154;;Decyzje wójta (burmistrza, prezydenta miasta);A;Bc;
0;01;015;0155;;Realizacja uchwał rady gminy;A;Bc;
0;01;015;0156;;Postanowienia wójta (burmistrza, prezydenta miasta);A;Bc;
0;01;015;0157;;Realizacja zarządzeń wójta (burmistrza, prezydenta miasta);A;Bc;
0;01;016;;;Akty normatywne innych, gminnych jednostek organizacyjnych;;;
0;01;016;0160;;Uchwały organów kolegialnych;B-10;Bc;Okres przechowywania dotyczy urzędu gminy, w komunalnej jednostce organizacyjnej – kat. B-25
0;01;016;0161;;Zarządzenia kierowników jednostek organizacyjnych;B-10;Bc;
0;01;017;;;Prace naukowo-badawcze;;;
0;01;017;0170;;Plany i programy prac naukowo-badawczych;B-5;Bc;
0;01;017;0171;;Własne prace naukowo-badawcze;B-5;Bc;W tym prace wykonane na zlecenie urzędu
0;01;017;0172;;Dokumentacja zleceń prac naukowo-badawczych;B-5;Bc;
0;01;017;0173;;Prace naukowo-badawcze obce;B-5;Bc;
0;01;018;;;Metody pracy;;;
0;01;018;0180;;Racjonalizacja i usprawnienia funkcjonowania urzędu;B-5;Bc;Wnioski dotyczące usprawnień i zmian organizacyjnych oraz zakresów działania
0;01;018;0181;;Wynalazki pracownicze i patenty;B-5;Bc;
0;01;018;0182;;Analiza i oceny efektów wprowadzonych usprawnień i racjonalizacji metod pracy;B-5;Bc;
0;02;;;;PROGNOZOWANIE, PLANOWANIE, SPRAWOZDAWCZOŚĆ I STATYSTYKA;;;
0;02;020;;;Metodyka i organizacja prognozowania, planowania i sprawozdawczości statystycznej;;;
0;02;020;0200;;Opracowania zewnętrzne;B-5;Bc;
0;02;020;0201;;Opracowania własne;A;Bc;
0;02;020;0202;;Oceny, opinie, uwagi;A;Bc;
0;02;021;;;Planowanie i sprawozdawczość;;;Hasła w tej grupie nie dotyczą organów kolegialnych gminy oraz budżetu gminy
0;02;021;0210;;Plany i sprawozdania własne;A;Bc;Za okresy roczne i wieloletnie. Projekty planów, plany i sprawozdania miesięczne i kwartalne – kat. B-5
0;02;021;0211;;Plany i sprawozdania jednostek podległych;B-10;Bc;Uwagi: - jak wyżej
0;02;021;0212;;Plany i sprawozdania zbiorcze;A;Bc;
0;02;022;;;Statystyka i analizy;;;
0;02;022;0220;;Źródłowe materiały statystyczne;BE-5;Bc;
0;02;022;0221;;Statystyczne opracowania końcowe własne;A;Bc;
0;02;022;0222;;Analizy (kompleksowe i problemowe) własne;A;Bc;
0;02;022;0223;;Analizy jednostek podległych;B-10;Bc;
0;02;022;0224;;Analizy zbiorcze;A;Bc;
0;02;023;;;Meldunki i raporty sytuacyjne;;;
0;02;023;0230;;Meldunki i raporty sytuacyjne własne;BE-5;Bc;
0;02;023;0231;;Meldunki i raporty sytuacyjne jednostek podległych;B-5;Bc;
0;03;;;;PROJEKTOWANIE I KOORDYNOWANIE SYSTEMÓW I PROGRAMÓW;;;
0;03;030;;;Projektowanie systemów;;;
0;03;030;0300;;Organizacja projektowania i programowania;A;Bc;
0;03;030;0301;;Ewidencja stosowanych systemów i programów;A;Bc;
0;03;030;0302;;Ogólne schematy systemów;A;Bc;
0;03;030;0303;;Wdrażanie i eksploatacja systemów i programów;A;Bc;
0;03;030;0304;;Licencje oprogramowania;B-5;Bc;Okres przechowywania liczy się od roku, w  którym zaprzestano eksploatacji programu
0;03;030;0305;;Ustalanie uprawnień dostępu do danych;B-5;Bc;
0;03;030;0306;;Redagowanie stron internetowych;A;Bc;
0;03;031;;;Tworzenie i eksploatacja baz danych;;;
0;03;031;0310;;Zakup, wdrażanie i aktualizacja zewnętrznych baz danych;B-5;Bc;
0;03;031;0311;;Bazy danych własne –  projekty i instrukcje ich prowadzenia;A;Bc;
0;03;031;0312;;Ewidencja baz danych;A;Bc;
0;03;032;;;Elektroniczne archiwizowanie danych na nośnikach informatycznych ;;;
0;03;032;0320;;Zasady archiwizowania i sporządzania wydruków;A;Bc;
0;03;032;0321;;Archiwizowanie oprogramowania;A;;Nośniki przechowywane w odpowiednio chronionym
0;03;032;0322;;Archiwizowanie danych z pamięci komputerów lokalnych – w cyklu kilkudniowym;Bc;;Nośniki przechowuje się w innym pomieszczeniu
0;03;032;0323;;Archiwizowanie danych z pamięci serwerów sieciowych - w cyklu tygodniowym;Bc;;Nośniki przechowywane w odpowiednio chronionym
0;03;032;0324;;Archiwizowanie danych z pamięci serwerów sieciowych - w cyklu miesięcznym;BE-5;;Nośniki przechowywane w odpowiednio chronionym
0;04;;;;PODZIAŁ TERYTORIALNY;;;
0;04;040;;;Ustalanie nazw miejscowości i obiektów fizjograficznych;A;;Materiały źródłowe, ustalenia i urzędowe ogłoszenia
0;04;041;;;Podział terytorialny, zmiany granic administracyjnych;;;
0;04;041;0410;;Przepisy prawne dotyczące podziału terytorialnego;B-10;Bc;
0;04;041;0411;;Tworzenie i znoszenie województw;A;Bc;Decyzje uprawnionego organu w zakresie dotyczącym przynależności administracyjnej danej gminy
0;04;041;0412;;Tworzenie i znoszenie powiatów;A;Bc;Uwagi jak wyżej
0;04;041;0413;;Nadawanie statusu miasta;A;Bc;
0;04;041;0414;;Tworzenie i znoszenie gmin;A;Bc;W tym sprawy związane z łączeniem i dzieleniem gmin,
0;04;041;0415;;Tworzenie i znoszenie sołectw, dzielnic i osiedli;A;Bc;
0;04;041;0416;;Zmiany granic województw;A;Bc;Decyzje uprawnionego organu w zakresie dotyczącym przynależności administracyjnej danej gminy
0;04;041;0417;;Zmiany granic powiatów;A;Bc;Uwagi jak wyżej
0;04;041;0418;;Zmiany granic miast;A;Bc;
0;04;041;0419;;Zmiany granic gmin;A;Bc;
0;05;;;;OBSŁUGA PRAWNA, SKARGI I WNIOSKI;;;
0;05;050;;;Przepisy prawne dotyczące obsługi prawnej  oraz skarg i wniosków;B-10;Bc;
0;05;051;;;Prowadzenie spraw cywilnych;;;
0;05;051;0510;;Rejestr spraw cywilnych;B-5;Bc;
0;05;051;0511;;Prowadzenie spraw cywilnych – materiały;B-5;Bc;Okres przechowywania nalicza się
0;05;051;0512;;Występowanie przed sądami;B-5;Bc;
0;05;051;0513;;Zastępstwo sądowe;B-3;Bc;
0;05;052;;;Prowadzenie spraw karnych;;;
0;05;052;0520;;Rejestr spraw karnych;B-5;Bc;
0;05;052;0521;;Prowadzenie spraw karnych – materiały;B-5;Bc;Okres przechowywania nalicza się
0;05;052;0522;;Występowanie przed sądami;B-5;Bc;
0;05;052;0523;;Współdziałanie z organami ścigania w sprawach zapobiegania przestępstwom;B-5;Bc;
0;05;052;0524;;Zastępstwo sądowe;B-5;Bc;
0;05;053;;;Opiniowanie projektów prawnych;;;
0;05;053;0530;;Projekty aktów prawnych gminy;B-3;Bc;
0;05;053;0531;;Projekty aktów prawnych starosty;B-3;Bc;
0;05;053;0532;;Projekty aktów prawnych marszałka województwa;B-3;Bc;
0;05;053;0533;;Projekty aktów prawnych wojewody;B-3;Bc;
0;05;053;0534;;Projekty aktów prawnych Rady Ministrów i ministrów;B-3;Bc;
0;05;053;0535;;Projekt aktów prawych innych organów centralnych;B-3;Bc;
0;05;053;0536;;Projekty ustaw;B-3;Bc;
0;05;054;;;Opinie prawne;;;
0;05;054;0540;;Opinie prawne dla organów gminy i komórek organizacyjnych własnego urzędu;B-5;Bc;
0;05;054;0541;;Opinie prawne dla jednostek podległych;B-5;Bc;
0;05;054;0542;;Opinie prawne dla innych jednostek organizacyjnych;B-5;Bc;
0;05;055;;;Interpretacje prawne i spory kompetencyjne;;;
0;05;055;0550;;Interpretacje prawne – własne;A;Bc;
0;05;055;0551;;Interpretacje prawne – obce;B-5;Bc;
0;05;055;0552;;Rozstrzyganie sporów kompetencyjnych między organami gminy a organami powiatu i samorządu wojewódzkiego;BE-5;Bc;
0;05;055;0553;;Rozstrzyganie sporów kompetencyjnych między organami gminy a organami administracji rządowej;BE-5;;
0;05;056;;;Skargi i wnioski;;;
0;05;056;0560;;Rejestr skarg i wniosków;A;Bc;
0;05;056;0561;;Rozpatrywanie skarg;BE-5;Bc;Do kategorii A zaliczyć 5% spraw
0;05;056;0562;;Rozpatrywanie wniosków;B-3;Bc;
0;05;056;0563;;Analizy i oceny skarg i wniosków;A;Bc;
0;05;056;0564;;Nadzór i kontrola rozpatrywania skarg i wniosków;B-3;Bc;
0;06;;;;WYDAWNICTWA I PUBLIKACJE, POPULARYZACJA;;;
0;06;060;;;Przepisy prawne dotyczące wydawnictw i publikacji;B-10;Bc;
0;06;061;;;Wydawnictwa;;;
0;06;061;0610;;Programy i plany wydawnictw i publikacji własnych;A;Bc;
0;06;061;0611;;Programy i plany wydawnictw i publikacji obcych;B-5;Bc;
0;06;061;0612;;Wykonanie poligraficzne;B-2;Bc;
0;06;061;0613;;Kolportaż i rozpowszechnianie wydawnictw;B-2;Bc;
0;06;061;0614;;Dokumentacja wydawnictw własnych;A;Bc;Karty wydawnicze, umowy, opracowania autorskie
0;06;062;;;Dzienniki, czasopisma, ogłoszenia, wywiady;;;
0;06;062;0620;;Prenumerata dzienników i czasopism;B-2;Bc;
0;06;062;0621;;Ogłoszenia i obwieszczenia własne;A;Bc;
0;06;062;0622;;Przygotowanie i koordynowanie polityki informacyjnej w środkach masowego przekazu;BE-5;Bc;
0;06;062;0623;;Współpraca z mediami;BE-5;Bc;
0;06;062;0624;;Konferencje prasowe;A;Bc;
0;06;062;0625;;Wywiady i informacje dla prasy, radia i telewizji;A;Bc;
0;06;062;0626;;Wycinki prasowe dotyczące działalności własnego urzędu;A;Bc;
0;06;062;0627;;Wycinki prasowe dotyczące działalności jednostek podległych;B-2;Bc;
0;06;062;0628;;Materiały multimedialne dotyczące promocji gminy;A;Bc;
0;06;063;;;Kroniki i monografie;;;
0;06;063;0630;;Kroniki i monografie własne;A;Bc;
0;06;063;0631;;Kroniki i monografie jednostek podległych;A;Bc;
0;06;063;0632;;Monografie obce;B-5;Bc;
0;06;064;;;Wystawy, pokazy, imprezy;;;
0;06;064;0640;;Programy, scenariusze, materiały pomocnicze, ;A;Bc;
0;06;064;;;księgi pamiątkowe o wystawach, pokazach i imprezach własnych;;;
0;06;064;0641;;Techniczna obsługa wystaw, pokazów i imprez;B-2;Bc;
0;06;064;0642;;Udział w obcych imprezach krajowych i zagranicznych;A;Bc;
0;07;;;;WSPÓŁDZIAŁANIE, KONTAKTY;;;
0;07;070;;;Współdziałanie z organami władzy państwowej;;;
0;07;070;0700;;Z Prezydentem i Kancelarią Prezydenta RP;A;Bc;
0;07;070;0701;;Z Sejmem i Senatem RP;A;Bc;
0;07;070;0702;;Z Prezydium Rządu i Radą Ministrów;A;Bc;
0;07;070;0703;;Z ministrami i kierownikami urzędów centralnych;A;Bc;
0;07;070;0704;;Z wojewodą i administracją rządową;A;Bc;
0;07;070;0704;;Z kuratorium oświaty;A;Bc;
0;07;070;0704;;???;;;
0;07;071;;;Współdziałanie z jednostkami samorządu terytorialnego i innymi instytucjami;;;
0;07;071;0710;;Z Sejmikiem Wojewódzkim i Marszałkiem Województwa;A;Bc;
0;07;071;0711;;Z Radą Powiatu i Starostą;A;Bc;
0;07;071;0712;;Z innymi gminami;BE-5;Bc;
0;07;071;0713;;Związki międzygminne (komunalne);A;Bc;
0;07;071;0714;;Stowarzyszenia gmin;A;Bc;
0;07;071;0715;;Z organizacjami politycznymi;A;Bc;
0;07;071;0716;;Ze związkami zawodowymi i organizacjami społecznymi;A;Bc;
0;07;071;0717;;Z innymi jednostkami organizacyjnymi i instytucjami;BE-5;Bc;
0;07;071;0718;;Współdziałanie z gminnymi jednostkami organizacyjnymi;BE-5;Bc;
0;07;071;0719;;Współdziałanie z komórkami jednostki własnej i podległymi placówkami;BE-6;Bc;
0;07;072;;;Kontakty zagraniczne;;;
0;07;072;0720;;Ogólne zasady i programy kontaktów zagranicznych;A;Bc;
0;07;072;0721;;Projekty porozumień w zakresie współpracy z gminami i instytucjami zagranicznymi;B-5;Bc;
0;07;072;0722;;Porozumienia, umowy z gminami i instytucjami zagranicznymi;A;Bc;
0;07;072;0723;;Nadzorowanie realizacji porozumień i umów;A;Bc;
0;07;072;0724;;Wyjazdy za granicę – sprawozdania;A;Bc;
0;07;072;0725;;Administracyjna obsługa wyjazdów za granicę;B-5;Bc;
0;07;072;0726;;Przyjmowanie przedstawicieli i gości z zagranicy – programy i sprawozdania;A;Bc;
0;07;072;0727;;Realizacja współpracy zagranicznej;A;Bc;
0;08;;;;BIUROWOŚĆ, ARCHIWUM, BIBLIOTEKA;;;
0;08;080;;;Przepisy prawne dotyczące biurowości, archiwów zakładowych, bibliotek ;B-10;Bc;
0;08;081;0810;;Instrukcje kancelaryjne;A;Bc;
0;08;081;0811;;Instrukcje obiegu wybranych rodzajów dokumentacji;A;Bc;
0;08;081;0812;;Jednolity rzeczowy wykaz akt;A;Bc;
0;08;081;0813;;Środki ewidencji i kontroli obiegu dokumentów;B-5;Bc;Dzienniki korespondencji, pocztowe książki nadawcze, rejestry przesyłek poleconych i wartościowych, potwierdzenie odbioru
0;08;081;0814;;Instrukcje i regulaminy archiwum zakładowego i biblioteki urzędowej;A;Bc;
0;08;082;;;Archiwum zakładowe;;;
0;08;082;0820;;Wykaz spisów zdawczo-odbiorczych;A;Bc;
0;08;082;0821;;Spisy zdawczo-odbiorcze dokumentacji przekazywanej do archiwum zakładowego;A;Bc;
0;08;082;0822;;Spisy zdawczo-odbiorcze materiałów archiwalnych przekazywanych do archiwum państwowego;A;Bc;
0;08;082;0823;;Rejestr i spisy zdawczo-odbiorcze dokumentacji niearchiwalnej zlikwidowanych jednostek organizacyjnych;A;Bc;Dotyczy akt zlikwidowanych jednostek organizacyjnych, nie posiadających sukcesora, podległych organom gminy
0;08;082;0824;;Udostępnianie i wypożyczanie dokumentacji z archiwum zakładowego;B-2;Bc;Okres przechowywania liczy się od 1 stycznia roku następnego po oddaniu dokumentacji
0;08;082;0825;;Brakowanie dokumentacji niearchiwalnej, protokoły zniszczeń;A;Bc;
0;08;082;0826;;Skontrum dokumentacji;B-5;Bc;Okres przechowywania – do czasu przeprowadzenia następnego skontrum
0;08;082;0827;;Zagubienie lub utrata akt;A;Bc;Postępowanie wyjaśniające
0;08;083;;;Biblioteka urzędowa;;;
0;08;083;0830;;Ewidencja zasobu bibliotecznego, inwentaryzacje;B-50;Bc;
0;08;083;0831;;Zakup książek i wydawnictw;B-2;Bc;
0;08;083;0832;;Wydawnictwa informacyjne i reklamowe;Bc;Bc;Katalogi, prospekty, foldery itp.
0;08;083;0833;;Ewidencja wypożyczeń;B-5;Bc;
0;08;083;0834;;Brakowanie zbiorów, weryfikacja przydatności;B-3;Bc;
0;08;084;;;Organizacja i stosowanie nowoczesnej techniki pracy biurowej;B-5;Bc;Dotyczy innych zagadnień, niż ujętych w haśle 03 – informatyka, takich jak środki łączności, urządzenia powielające, audiowizualne itp.
0;08;085;;;Formularze i druki;;;
0;08;085;0850;;Wzory formularzy i druków własnych;A;Bc;Obowiązujących i stosowanych w urzędzie. Projekty wzorów – kat. Bc
0;08;085;0851;;Druki powszechnego użytku;B-3;Bc;Wzory
0;08;085;0852;;Druki ścisłego zarachowania;B-3;;Wzory i zasady gospodarowania
0;08;086;;;Godła i herby, pieczęcie, tablice urzędowe;;;
0;08;086;0860;;Godła i herby (wzory);A;Bc;
0;08;086;0861;;Zatwierdzanie herbów miast i gmin;A;Bc;
0;08;086;0862;;Pieczęcie urzędowe – wzory i ewidencja;A;Bc;
0;08;086;0863;;Inne pieczęcie i stemple – wzory odcisków i ewidencja;A;Bc;
0;08;086;0864;;Tablice urzędowe – wzory treści i formy;B-5;Bc;
0;08;087;;;Opłaty pocztowe, telefoniczne;;;
0;08;087;0870;;Tabela opłat pocztowych;B-5;Bc;
0;08;087;0871;;Opłaty pocztowe;B-3;Bc;
0;08;087;0872;;Telegramy, telefonogramy, dalekopisy, telefaxy;B-3;Bc;
0;08;087;0873;;Wydruki z taryfikacją rozmów wychodzących z urzędu;B-3;Bc;
0;09;;;;NADZÓR, KONTROLE, BADANIA;;;
0;09;090;0900;;Zasady i tryb postępowania w sprawach nadzoru, kontroli i badań;;;
0;09;090;0901;;Organizacja jednostek kontrolnych;BE-10;Bc;Dotyczy komórek organizacyjnych i samodzielnych stanowisk zajmujących się przeprowadzaniem kontroli
0;09;090;0902;;Książki kontroli;B-5;Bc;
0;09;090;0903;;Nadzór uprawnionych organów nad przestrzeganiem prawa przez jednostki samorządu terytorialnego;B-5;Bc;Dotyczy decyzji i postanowień
0;09;091;;;Kontrole, inspekcje, lustracje;;;
0;09;091;0910;;Plany kontroli, inspekcji i lustracji oraz sprawozdania z ich realizacji;BE-5;Bc;
0;09;091;0911;;Kontrole zewnętrzne własnej jednostki;A;Bc;Protokoły, wnioski, zalecenia, wystąpienia pokontrolne,sprawozdania z wykonania zaleceń
0;09;091;0912;;Kontrole zewnętrzne jednostek podległych;B-5;Bc;
0;09;091;0913;;Kontrole wewnętrzne;B-5;Bc;
0;09;091;0914;;Kontrole jednostek podległych przeprowadzane przez organy gminy;A;Bc;
0;09;092;;;Badania;;;
0;09;092;0920;;Badanie uchwał jednostek samorządu terytorialnego;BE-5;Bc;
0;09;092;0921;;Badanie zgodności postępowania administracyjnego z obowiązującymi aktami prawnymi;B-5;Bc;
0;09;093;;;Uczestnictwo w obcych kontrolach i badaniach;;;
0;09;093;0930;;Udział w kontrolach organizowanych przez specjalistyczne jednostki kontrolne;BE-5;Bc;
0;09;093;0931;;Udział w kontrolach organizowanych przez organy organizacji społecznych;BE-5;Bc;
0;09;093;0932;;Udział w kontrolach organizowanych przez organy samorządu terytorialnego;BE-5;Bc;
0;09;094;;;Audyt wewnętrzny;;;
0;09;094;0940;;Zasady i metodyka audytu wewnętrznego;B-10;Bc;Zbiór aktów normatywnych i innych aktów prawnych, procedury, itp.
0;09;094;0941;;Plany audytu wewnętrznego i sprawozdania z jego realizacji;A;Bc;
0;09;094;0942;;Audyt wewnętrzny planowy i pozaplanowy;BE-10;Bc;Programy, protokoły, notatki, oświadczenia, notatki z czynności sprawdzających
1;;;;;ORGANIZACJA;;;
1;10;;;;OGÓLNE ZASADY PRACY I PŁAC, EWIDENCJA OSOBOWA;;;
1;10;100;;;Zbiór przepisów prawnych dotyczących pracy i płac oraz spraw osobowych;B-10;Bc;
1;10;101;;;Ogólne zasady pracy i płacy;;;
1;10;101;1010;;Umowy zbiorowe i zakładowe;A;Bc;
1;10;101;1011;;Taryfikatory kwalifikacyjne;A;Bc;
1;10;101;1012;;Regulaminy pracy, czas pracy;A;Bc;
1;10;101;1013;;Analizy, oceny, sprawozdawczość;A;Bc;
1;10;102;;;Ewidencja osobowa, legitymacje, zaświadczenia;;;
1;10;102;1020;;Akta osobowe pracowników urzędu;BE-50;Bc;Sposób prowadzenia akt osobowych określają odrębne przepisy
1;10;102;1021;;Akta osobowe kadry kierowniczej jednostek podporządkowanych;BE-50;Bc;
1;10;102;1022;;Ewidencja akt osobowych;B-50;Bc;
1;10;102;1023;;Legitymacje służbowe;B-5;Bc;
1;10;102;1024;;Sprawy wojskowe pracowników;B-5;Bc;
1;10;102;1025;;Świadectwa pracy, zaświadczenia;B-5;Bc;
1;10;102;1026;;Sprawy osobowe osób dopuszczonych do informacji niejawnych;B-10;Bc;
1;10;102;1027;;Ewidencja osób dopuszczonych do informacji niejawnych;B-50;Bc;
1;10;103;;;Sprawy pracownicze;;;
1;10;103;1030;;Alimenty i inne potrącenia;B-5;Bc;
1;10;103;1031;;Zasiłki rodzinne;B-5;Bc;
1;11;;;;ZATRUDNIENIE I WYNAGRADZANIE;;;
1;11;110;;;Przepisy prawne dotyczące zatrudniania i wynagradzania;B-10;Bc;
1;11;111;;;Zatrudnianie i zwalnianie pracowników własnego urzędu;;;
1;11;111;1110;;Zapotrzebowanie i nabór pracowników;B-2;Bc;
1;11;111;1111;;Zatrudnianie i zwalnianie pracowników;B-2;Bc;
1;11;111;1112;;Zatrudnianie i zwalnianie pracowników specjalnych kategorii;B-2;Bc;
1;11;111;1113;;Zatrudnianie i zwalnianie pracowników młodocianych;B-2;Bc;
1;11;111;1114;;Zatrudnianie w godzinach nadliczbowych;B-2;Bc;
1;11;112;;;Nagradzanie i awansowanie pracowników własnego urzędu;;;
1;11;112;1120;;Nagradzanie pracowników;B-2;Bc;
1;11;112;1121;;Awansowanie pracowników;B-2;Bc;
1;11;112;1122;;Nagrody jubileuszowe;B-2;Bc;
1;11;112;1123;;Dyplomy, listy, podziękowania;B-2;Bc;
1;11;113;;;Zatrudnianie, nagradzanie i awansowanie kierowników gminnych jednostek organizacyjnych;;;
1;11;113;1130;;Powoływanie i odwoływanie;B-5;Bc;
1;11;113;1131;;Nagradzanie i awansowanie;B-5;Bc;
1;11;113;1132;;Nagrody jubileuszowe;B-5;Bc;
1;11;113;1133;;Dyplomy, listy, podziękowania;B-2;Bc;
1;11;114;;;Opiniowanie pracowników;;;
1;11;114;1140;;Opiniowanie pracowników własnego urzędu;B-5;Bc;
1;11;114;1141;;Opiniowanie pracowników gminnych jednostek organizacyjnych;B-5;Bc;
